obsryymtde,inflowqy,lowlevel,prcptqy,rsvwtqy,rsvwtrt,totdcwtrqy
2016-01-01,63.480,164.88,0.000,2.823,0.1,63.605
2016-01-02,63.302,164.86,0.000,2.801,0.1,63.552
2016-01-03,63.142,164.86,0.000,2.801,0.1,63.142
2016-01-04,41.437,164.51,0.000,2.437,0.1,45.648
2016-01-05,7.759,164.5,0.000,2.427,0.1,7.875
2016-01-06,8.488,164.51,0.000,2.437,0.1,8.372
2016-01-07,8.465,164.5,0.000,2.427,0.1,8.581
2016-01-08,8.898,164.47,0.000,2.397,0.1,9.244
2016-01-09,9.806,164.45,0.000,2.378,0.1,10.035
2016-01-10,9.572,164.43,0.000,2.358,0.1,9.801
2016-01-11,11.592,164.4,0.000,2.328,0.1,11.932
2016-01-12,13.077,164.38,0.000,2.309,0.1,13.304
2016-01-13,13.417,164.35,0.000,2.28,0.1,13.754
2016-01-14,13.595,164.32,0.000,2.251,0.1,13.929
2016-01-15,13.387,164.29,0.000,2.222,0.1,13.720
2016-01-16,14.258,164.29,0.000,2.222,0.1,14.258
2016-01-17,18.593,164.29,0.000,2.222,0.1,18.593
2016-01-18,21.255,164.21,0.000,2.146,0.1,22.131
2016-01-19,16.478,164.11,0.000,2.054,0.1,17.551
2016-01-20,16.694,164.07,0.000,2.017,0.1,17.116
2016-01-21,15.599,164.04,0.000,1.99,0.1,15.914
2016-01-22,14.893,164.03,0.000,1.981,0.1,14.997
2016-01-23,14.546,164.01,0.000,1.963,0.1,14.753
2016-01-24,14.643,163.99,0.000,1.945,0.1,14.850
2016-01-25,15.743,163.98,0.000,1.936,0.1,15.846
2016-01-26,16.070,163.9,0.000,1.866,0.1,16.886
2016-01-27,16.097,163.87,0.000,1.84,0.1,16.399
2016-01-28,16.582,163.86,0.000,1.831,0.1,16.682
2016-01-29,16.705,163.8,0.000,1.78,0.1,17.301
2016-01-30,17.103,163.82,0.000,1.797,0.1,16.905
2016-01-31,17.295,163.85,0.000,1.822,0.1,16.996
2016-02-01,17.092,163.85,0.000,1.822,0.1,17.092
2016-02-02,16.980,163.81,0.000,1.788,0.1,17.377
2016-02-03,17.941,163.78,0.000,1.763,0.1,18.237
2016-02-04,18.716,163.78,0.000,1.763,0.1,18.716
2016-02-05,18.480,163.78,0.000,1.763,0.1,18.480
2016-02-06,18.116,163.78,0.000,1.763,0.1,18.116
2016-02-07,18.324,163.78,0.000,1.763,0.1,18.324
2016-02-08,18.341,163.78,0.000,1.763,0.1,18.341
2016-02-09,17.596,163.78,0.000,1.763,0.1,17.596
2016-02-10,17.909,163.78,0.000,1.763,0.1,17.909
2016-02-11,16.833,163.74,0.000,1.729,0.1,17.223
2016-02-12,20.606,163.8,19.000,1.78,0.1,20.019
2016-02-13,23.818,163.99,32.000,1.945,0.1,21.901
2016-02-14,29.326,164.11,3.000,2.054,0.1,28.070
2016-02-15,25.488,164.14,0.000,2.081,0.1,25.169
2016-02-16,25.836,164.2,0.000,2.137,0.1,25.190
2016-02-17,24.172,164.22,0.000,2.156,0.1,23.956
2016-02-18,23.363,164.25,1.000,2.184,0.1,23.035
2016-02-19,23.096,164.22,0.000,2.156,0.1,23.424
2016-02-20,22.268,164.22,0.000,2.156,0.1,22.268
2016-02-21,21.692,164.21,0.000,2.146,0.1,21.801
2016-02-22,22.742,164.19,0.000,2.128,0.1,22.958
2016-02-23,22.461,164.15,0.000,2.09,0.1,22.892
2016-02-24,21.886,164.12,0.000,2.063,0.1,22.205
2016-02-25,20.677,164.12,0.000,2.063,0.1,20.677
2016-02-26,19.782,164.1,0.000,2.044,0.1,19.995
2016-02-27,19.412,164.1,0.000,2.044,0.1,19.412
2016-02-28,21.465,164.11,2.000,2.054,0.1,21.359
2016-02-29,21.037,164.1,0.000,2.044,0.1,21.143
2016-03-01,20.356,164.08,0.000,2.026,0.1,20.567
2016-03-02,19.381,164.07,0.000,2.017,0.1,19.486
2016-03-03,18.364,164.06,0.000,2.008,0.1,18.469
2016-03-04,16.814,164.05,0.000,1.999,0.1,16.918
2016-03-05,29.397,164.28,51.000,2.213,0.1,26.926
2016-03-06,84.960,164.78,0.000,2.716,0.1,79.137
2016-03-07,31.745,164.94,0.000,2.888,0.1,29.750
2016-03-08,22.997,165.02,0.000,2.976,0.1,21.976
2016-03-09,18.344,165.04,0.000,2.999,0.1,18.086
2016-03-10,15.500,165.07,0.000,3.032,0.1,15.111
2016-03-11,14.947,165.03,0.000,2.987,0.1,15.466
2016-03-12,16.542,165.02,0.000,2.976,0.1,16.670
2016-03-13,14.390,165.02,0.000,2.976,0.1,14.390
2016-03-14,14.664,164.95,0.000,2.899,0.1,15.559
2016-03-15,15.660,164.87,0.000,2.812,0.1,16.667
2016-03-16,15.689,164.86,0.000,2.801,0.1,15.814
2016-03-17,16.434,164.69,0.000,2.621,0.1,18.517
2016-03-18,16.546,164.51,0.000,2.437,0.1,18.673
2016-03-19,16.207,164.34,0.000,2.27,0.1,18.143
2016-03-20,20.078,164.17,0.000,2.109,0.1,21.941
2016-03-21,19.603,163.99,0.000,1.945,0.1,21.500
2016-03-22,18.094,164,0.000,1.954,0.1,17.991
2016-03-23,18.462,163.95,0.000,1.91,0.1,18.976
2016-03-24,18.919,163.86,0.000,1.831,0.1,19.829
2016-03-25,19.460,163.79,0.000,1.771,0.1,20.154
2016-03-26,20.117,163.71,0.000,1.704,0.1,20.896
2016-03-27,19.863,163.61,0.000,1.622,0.1,20.814
2016-03-28,16.844,163.52,0.000,1.549,0.1,17.680
2016-03-29,15.458,163.43,0.000,1.479,0.1,16.274
2016-03-30,16.127,163.34,0.000,1.41,0.1,16.924
2016-03-31,16.759,163.24,0.000,1.335,0.1,17.621
2016-04-01,16.786,163.16,0.000,1.277,0.1,17.460
2016-04-02,17.403,163.08,0.000,1.22,0.1,18.060
2016-04-03,17.988,162.99,0.000,1.158,0,18.709
2016-04-04,17.530,162.93,0.000,1.117,0,18.001
2016-04-05,17.068,162.88,0.000,1.084,0,17.453
2016-04-06,16.539,162.85,0.000,1.064,0,16.768
2016-04-07,19.957,162.86,7.000,1.071,0,19.881
2016-04-08,20.627,162.84,0.000,1.058,0,20.779
2016-04-09,20.105,162.82,0.000,1.045,0,20.255
2016-04-10,19.637,162.81,0.000,1.038,0,19.712
2016-04-11,19.167,162.8,0.000,1.032,0,19.242
2016-04-12,18.887,162.8,0.000,1.032,0,18.887
2016-04-13,18.416,162.78,0.000,1.019,0,18.564
2016-04-14,18.103,162.77,0.000,1.013,0,18.177
2016-04-15,17.745,162.76,0.000,1.006,0,17.819
2016-04-16,20.678,163.01,34.000,1.172,0,18.761
2016-04-17,47.725,163.75,34.000,1.737,0.1,41.181
2016-04-18,72.622,163.82,16.000,1.797,0.1,71.934
2016-04-19,60.187,163.61,0.000,1.622,0.1,62.214
2016-04-20,52.276,163.49,0.000,1.526,0.1,53.386
2016-04-21,51.293,163.5,13.000,1.534,0.1,51.202
2016-04-22,49.309,163.44,0.000,1.487,0.1,49.853
2016-04-23,45.879,163.38,0.000,1.44,0.1,46.414
2016-04-24,42.019,163.29,0.000,1.372,0.1,42.805
2016-04-25,38.085,163.21,0.000,1.313,0.1,38.768
2016-04-26,34.576,163.14,0.000,1.263,0.1,35.160
2016-04-27,31.697,163.08,0.000,1.22,0.1,32.189
2016-04-28,29.564,163.04,0.000,1.193,0.1,29.887
2016-04-29,27.427,163,0.000,1.165,0,27.746
2016-04-30,25.826,162.97,0.000,1.144,0,26.063
2016-05-01,25.084,162.95,0.000,1.131,0,25.240
2016-05-02,24.021,162.95,3.000,1.131,0,24.021
2016-05-03,28.542,163.1,49.000,1.235,0.1,27.343
2016-05-04,50.015,163.68,8.000,1.679,0.1,44.871
2016-05-05,61.718,163.61,2.000,1.622,0.1,62.382
2016-05-06,53.801,163.55,5.000,1.573,0.1,54.360
2016-05-07,66.830,163.79,0.000,1.771,0.1,64.541
2016-05-08,59.813,163.58,0.000,1.597,0.1,61.823
2016-05-09,48.357,163.4,0.000,1.456,0.1,49.997
2016-05-10,45.180,163.36,19.000,1.425,0.1,45.533
2016-05-11,40.472,163.24,0.000,1.335,0.1,41.510
2016-05-12,35.346,163.16,0.000,1.277,0.1,36.020
2016-05-13,31.736,163.08,0.000,1.22,0.1,32.393
2016-05-14,28.883,163.02,0.000,1.179,0,29.366
2016-05-15,28.437,163.1,29.000,1.235,0.1,27.791
2016-05-16,33.104,163.21,4.000,1.313,0.1,32.191
2016-05-17,36.268,163.17,0.000,1.284,0.1,36.604
2016-05-18,33.041,163.1,0.000,1.235,0.1,33.619
2016-05-19,29.462,163.03,0.000,1.186,0.1,30.028
2016-05-20,22.128,162.98,0.000,1.151,0,22.526
2016-05-21,25.052,162.94,0.000,1.124,0,25.366
2016-05-22,23.407,162.9,0.000,1.097,0,23.717
2016-05-23,21.563,162.86,0.000,1.071,0,21.869
2016-05-24,23.842,162.91,27.000,1.104,0,23.459
2016-05-25,26.226,162.96,0.000,1.138,0,25.837
2016-05-26,22.764,162.87,5.000,1.078,0,23.460
2016-05-27,20.797,162.84,0.000,1.058,0,21.025
2016-05-28,19.478,162.8,0.000,1.032,0,19.779
2016-05-29,18.282,162.77,0.000,1.013,0,18.504
2016-05-30,17.707,162.76,0.000,1.006,0,17.781
2016-05-31,17.395,162.75,0.000,1,0,17.469
2016-06-01,9.378,162.73,0.000,0.987,0,9.524
2016-06-02,11.363,162.7,0.000,0.968,0,11.582
2016-06-03,15.157,162.68,0.000,0.956,0,15.301
2016-06-04,14.278,162.65,0.000,0.937,0,14.492
2016-06-05,13.543,162.63,0.000,0.925,0,13.685
2016-06-06,12.612,162.6,0.000,0.907,0,12.823
2016-06-07,11.847,162.58,0.000,0.895,0,11.987
2016-06-08,11.255,162.56,0.000,0.883,0,11.393
2016-06-09,10.956,162.55,0.000,0.877,0,11.025
2016-06-10,10.452,162.53,0.000,0.865,0,10.589
2016-06-11,9.788,162.5,3.000,0.848,0,9.992
2016-06-12,8.793,162.47,3.000,0.83,0,8.996
2016-06-13,8.418,162.46,0.000,0.824,0,8.485
2016-06-14,8.605,162.51,6.000,0.853,0,8.268
2016-06-15,8.297,162.46,17.000,0.824,0,8.634
2016-06-16,8.329,162.47,0.000,0.83,0,8.262
2016-06-17,9.254,162.5,0.000,0.848,0,9.051
2016-06-18,8.936,162.5,0.000,0.848,0,8.936
2016-06-19,9.057,162.49,0.000,0.842,0,9.125
2016-06-20,8.815,162.48,0.000,0.836,0,8.882
2016-06-21,8.554,162.47,0.000,0.83,0,8.621
2016-06-22,8.014,162.43,4.000,0.807,0,8.279
2016-06-23,6.910,162.41,0.000,0.796,0,7.042
2016-06-24,6.946,162.39,8.000,0.784,0,7.077
2016-06-25,6.319,162.39,0.000,0.784,0,6.319
2016-06-26,6.298,162.39,0.000,0.784,0,6.298
2016-06-27,6.297,162.39,0.000,0.784,0,6.297
2016-06-28,6.274,162.39,0.000,0.784,0,6.274
2016-06-29,5.944,162.37,0.000,0.773,0,6.074
2016-06-30,5.585,162.35,3.000,0.762,0,5.713
2016-07-01,13.181,162.97,102.000,1.144,0,8.756
2016-07-02,140.358,164.94,7.000,2.888,0.1,120.177
2016-07-03,85.474,163.77,0.000,1.754,0.1,98.598
2016-07-04,49.248,163.42,14.000,1.471,0.1,52.525
2016-07-05,748.284,175.02,202.000,26.001,1,464.373
2016-07-06,336.018,172.14,0.000,16.776,0.6,442.787
2016-07-07,18.367,172.45,0.000,17.662,0.7,8.112
2016-07-08,6.089,172.63,0.000,18.188,0.7,0.000
2016-07-09,0.000,172.42,0.000,17.575,0.7,0.000
2016-07-10,0.000,172.06,0.000,16.552,0.6,0.000
2016-07-11,0.000,171.65,0.000,15.427,0.6,0.000
2016-07-12,0.000,171.21,3.000,14.268,0.5,0.000
2016-07-13,0.000,170.86,0.000,13.382,0.5,0.000
2016-07-14,0.000,170.68,0.000,12.939,0.5,0.000
2016-07-15,0.000,170.5,0.000,12.503,0.5,0.000
2016-07-16,5.322,170.69,52.000,12.963,0.5,0.000
2016-07-17,5.140,170.87,15.000,13.407,0.5,0.000
2016-07-18,4.355,171.02,4.000,13.783,0.5,0.000
2016-07-19,0.587,171.04,0.000,13.834,0.5,0.000
2016-07-20,0.000,170.96,0.000,13.632,0.5,0.000
2016-07-21,0.000,170.88,0.000,13.432,0.5,0.000
2016-07-22,11.188,170.45,0.000,12.384,0.5,23.322
2016-07-23,22.340,170,10.000,11.336,0.4,34.462
2016-07-24,27.461,169.75,5.000,10.776,0.4,33.944
2016-07-25,36.917,169.63,1.000,10.513,0.4,39.966
2016-07-26,34.340,169.52,0.000,10.274,0.4,37.098
2016-07-27,26.656,169.09,3.000,9.371,0.4,37.110
2016-07-28,65.099,169.13,0.000,9.453,0.4,64.148
2016-07-29,54.534,168.6,6.000,8.397,0.3,66.763
2016-07-30,38.044,168.6,0.000,8.397,0.3,38.044
2016-07-31,34.689,168.62,36.000,8.435,0.3,34.242
2016-08-01,33.800,168.58,0.000,8.358,0.3,34.694
2016-08-02,27.920,168.43,2.000,8.072,0.3,31.230
2016-08-03,25.615,168.24,1.000,7.718,0.3,29.720
2016-08-04,22.519,167.99,0.000,7.264,0.3,27.768
2016-08-05,28.565,167.74,0.000,6.825,0.3,33.645
2016-08-06,42.181,167.67,0.000,6.705,0.3,43.572
2016-08-07,42.298,167.59,0.000,6.569,0.3,43.872
2016-08-08,36.548,167.28,0.000,6.056,0.2,42.485
2016-08-09,27.042,166.96,0.000,5.55,0.2,32.901
2016-08-10,24.484,166.83,0.000,5.351,0.2,26.786
2016-08-11,32.333,166.74,0.000,5.215,0.2,33.901
2016-08-12,34.579,166.73,0.000,5.2,0.2,34.751
2016-08-13,34.421,166.7,0.000,5.156,0.2,34.938
2016-08-14,33.652,166.68,0.000,5.126,0.2,33.996
2016-08-15,31.802,166.73,0.000,5.2,0.2,30.941
2016-08-16,25.405,166.77,0.000,5.26,0.2,24.713
2016-08-17,27.493,166.76,0.000,5.245,0.2,27.667
2016-08-18,27.770,166.76,0.000,5.245,0.2,27.770
2016-08-19,26.965,166.76,0.000,5.245,0.2,26.965
2016-08-20,26.374,166.77,0.000,5.26,0.2,26.200
2016-08-21,25.547,166.8,5.000,5.305,0.2,25.024
2016-08-22,24.403,166.76,0.000,5.245,0.2,25.100
2016-08-23,26.767,166.68,0.000,5.126,0.2,28.147
2016-08-24,28.873,166.54,0.000,4.921,0.2,31.247
2016-08-25,32.164,166.49,12.000,4.849,0.2,33.000
2016-08-26,29.407,166.52,8.000,4.892,0.2,28.907
2016-08-27,31.480,166.55,0.000,4.935,0.2,30.977
2016-08-28,32.048,166.58,5.000,4.979,0.2,31.543
2016-08-29,33.165,166.6,2.000,5.008,0.2,32.826
2016-08-30,34.361,166.66,1.000,5.096,0.2,33.341
2016-08-31,37.129,166.72,15.000,5.185,0.2,36.099
2016-09-01,33.150,166.81,13.000,5.321,0.2,31.586
2016-09-02,32.319,166.93,3.000,5.503,0.2,30.202
2016-09-03,23.026,167.04,2.000,5.674,0.2,21.051
2016-09-04,26.069,167.15,0.000,5.847,0.2,24.062
2016-09-05,32.077,167.21,0.000,5.943,0.2,30.969
2016-09-06,38.831,167.29,0.000,6.072,0.2,37.338
2016-09-07,43.175,167.35,0.000,6.17,0.2,42.044
2016-09-08,50.017,167.43,5.000,6.301,0.2,48.495
2016-09-09,48.885,167.49,3.000,6.401,0.2,47.731
2016-09-10,47.247,167.43,0.000,6.301,0.2,48.401
2016-09-11,45.843,167.36,3.000,6.186,0.2,47.176
2016-09-12,43.804,167.27,0.000,6.04,0.2,45.498
2016-09-13,33.920,167.04,0.000,5.674,0.2,38.153
2016-09-14,29.214,166.87,0.000,5.412,0.2,32.251
2016-09-15,36.872,166.65,0.000,5.082,0.2,40.690
2016-09-16,41.189,166.41,0.000,4.734,0.2,45.209
2016-09-17,36.546,166.18,0.000,4.414,0.2,40.257
2016-09-18,26.342,165.94,0.000,4.092,0.2,30.068
2016-09-19,27.361,165.68,0.000,3.758,0.1,31.229
2016-09-20,33.991,165.4,0.000,3.415,0.1,37.963
2016-09-21,30.406,165.12,0.000,3.089,0.1,34.179
2016-09-22,23.591,164.86,0.000,2.801,0.1,26.917
2016-09-23,25.511,164.57,0.000,2.498,0.1,29.021
2016-09-24,21.458,164.29,0.000,2.222,0.1,24.650
2016-09-25,20.507,164,0.000,1.954,0.1,23.609
2016-09-26,15.998,163.72,0.000,1.712,0.1,18.798
2016-09-27,17.483,163.46,10.000,1.502,0.1,19.914
2016-09-28,10.020,163.16,0.000,1.277,0.1,12.623
2016-09-29,13.902,163.02,0.000,1.179,0,15.042
2016-09-30,21.999,163.01,0.000,1.172,0,22.079
2016-10-01,24.354,162.99,0.000,1.158,0,24.513
2016-10-02,26.012,163.07,21.000,1.213,0.1,25.372
2016-10-03,181.283,166.76,62.000,5.245,0.2,134.619
2016-10-04,142.414,164.67,0.000,2.6,0.1,173.026
2016-10-05,74.915,164.08,0.000,2.026,0.1,81.560
2016-10-06,50.533,163.79,0.000,1.771,0.1,53.487
2016-10-07,36.318,163.6,1.000,1.613,0.1,38.142
2016-10-08,34.131,163.49,2.000,1.526,0.1,35.147
2016-10-09,29.523,163.47,0.000,1.51,0.1,29.705
2016-10-10,24.081,163.5,0.000,1.534,0.1,23.808
2016-10-11,22.022,163.57,0.000,1.589,0.1,21.377
2016-10-12,22.633,163.64,0.000,1.646,0.1,21.976
2016-10-13,23.907,163.65,0.000,1.654,0.1,23.812
2016-10-14,24.232,163.67,0.000,1.671,0.1,24.042
2016-10-15,25.773,163.73,0.000,1.72,0.1,25.197
2016-10-16,27.474,163.8,0.000,1.78,0.1,26.790
2016-10-17,27.746,163.86,0.000,1.831,0.1,27.150
2016-10-18,27.016,163.91,0.000,1.875,0.1,26.513
2016-10-19,25.614,163.93,0.000,1.892,0.1,25.411
2016-10-20,26.402,163.96,0.000,1.919,0.1,26.095
2016-10-21,28.848,164.02,0.000,1.972,0.1,28.230
2016-10-22,29.607,164.07,0.000,2.017,0.1,29.084
2016-10-23,33.764,164.11,0.000,2.054,0.1,33.342
2016-10-24,36.937,164.11,0.000,2.054,0.1,36.937
2016-10-25,47.576,164.21,25.000,2.146,0.1,46.503
2016-10-26,56.180,164.3,0.000,2.232,0.1,55.193
2016-10-27,50.898,164.14,0.000,2.081,0.1,52.639
2016-10-28,25.050,164.19,0.000,2.128,0.1,24.513
2016-10-29,8.044,164.25,0.000,2.184,0.1,7.391
2016-10-30,8.548,164.3,0.000,2.232,0.1,7.997
2016-10-31,8.791,164.36,0.000,2.289,0.1,8.122
2016-11-01,9.532,164.41,0.000,2.338,0.1,8.967
2016-11-02,9.878,164.45,0.000,2.378,0.1,9.422
2016-11-03,12.249,164.5,0.000,2.427,0.1,11.674
2016-11-04,12.070,164.54,0.000,2.467,0.1,11.606
2016-11-05,15.076,164.59,0.000,2.518,0.1,14.489
2016-11-06,15.380,164.64,0.000,2.569,0.1,14.787
2016-11-07,21.417,164.74,8.000,2.673,0.1,20.212
2016-11-08,18.451,164.74,0.000,2.673,0.1,18.451
2016-11-09,19.617,164.79,0.000,2.726,0.1,19.006
2016-11-10,23.379,164.86,6.000,2.801,0.1,22.512
2016-11-11,23.986,164.89,2.000,2.834,0.1,23.611
2016-11-12,22.710,164.92,0.000,2.866,0.1,22.333
2016-11-13,22.284,164.97,1.000,2.921,0.1,21.650
2016-11-14,23.792,165.02,1.000,2.976,0.1,23.152
2016-11-15,24.072,165.06,0.000,3.021,0.1,23.555
2016-11-16,25.203,165.1,0.000,3.066,0.1,24.682
2016-11-17,26.534,165.13,0.000,3.1,0.1,26.142
2016-11-18,26.880,165.17,0.000,3.145,0.1,26.352
2016-11-19,33.500,165.22,0.000,3.203,0.1,32.834
2016-11-20,35.443,165.26,0.000,3.249,0.1,34.906
2016-11-21,37.647,165.3,0.000,3.296,0.1,37.105
2016-11-22,24.985,165.17,0.000,3.145,0.1,26.729
2016-11-23,12.679,165.21,0.000,3.191,0.1,12.147
2016-11-24,14.693,165.24,0.000,3.226,0.1,14.291
2016-11-25,16.470,165.28,0.000,3.273,0.1,15.931
2016-11-26,19.171,165.32,1.000,3.32,0.1,18.628
2016-11-27,20.761,165.36,0.000,3.367,0.1,20.214
2016-11-28,21.209,165.38,0.000,3.391,0.1,20.935
2016-11-29,21.302,165.42,0.000,3.438,0.1,20.749
2016-11-30,24.378,165.52,1.000,3.559,0.1,22.978
2016-12-01,24.732,165.54,1.000,3.584,0.1,24.448
2016-12-02,25.543,165.58,0.000,3.633,0.1,24.974
2016-12-03,26.112,165.61,0.000,3.67,0.1,25.683
2016-12-04,24.427,165.64,0.000,3.708,0.1,23.994
2016-12-05,26.081,165.71,0.000,3.796,0.1,25.064
2016-12-06,28.658,165.7,0.000,3.783,0.1,28.805
2016-12-07,28.709,165.73,0.000,3.821,0.2,28.269
2016-12-08,27.033,165.71,1.000,3.796,0.1,27.326
2016-12-09,36.494,165.76,3.000,3.859,0.2,35.760
2016-12-10,25.482,165.79,0.000,3.897,0.2,25.039
2016-12-11,24.717,165.8,0.000,3.91,0.2,24.568
2016-12-12,22.744,165.81,0.000,3.923,0.2,22.596
2016-12-13,22.631,165.87,0.000,4,0.2,21.734
2016-12-14,23.510,165.85,0.000,3.975,0.2,23.810
2016-12-15,27.661,165.91,0.000,4.053,0.2,26.757
2016-12-16,25.513,165.81,0.000,3.923,0.2,27.014
2016-12-17,22.911,165.88,0.000,4.013,0.2,21.864
2016-12-18,21.023,165.91,0.000,4.053,0.2,20.569
2016-12-19,21.169,165.97,0.000,4.131,0.2,20.257
2016-12-20,20.712,165.92,0.000,4.066,0.2,21.474
2016-12-21,17.117,165.91,22.000,4.053,0.2,17.267
2016-12-22,24.879,166.15,46.000,4.373,0.2,21.173
2016-12-23,39.516,166.37,0.000,4.678,0.2,35.986
2016-12-24,39.674,166.53,0.000,4.906,0.2,37.028
2016-12-25,38.266,166.65,0.000,5.082,0.2,36.237
2016-12-26,35.878,166.78,0.000,5.275,0.2,33.637
2016-12-27,34.774,166.9,1.000,5.457,0.2,32.666
2016-12-28,27.395,166.95,0.000,5.534,0.2,26.506
2016-12-29,25.933,166.94,0.000,5.519,0.2,26.111
2016-12-30,24.123,166.88,0.000,5.427,0.2,25.188
2016-12-31,27.535,166.93,0.000,5.503,0.2,26.648
2017-01-01,23.350,166.97,0.000,5.565,0.2,22.636
2017-01-02,23.071,167.06,0.000,5.705,0.2,21.448
2017-01-03,22.385,167.05,0.000,5.69,0.2,22.566
2017-01-04,24.496,167.12,0.000,5.8,0.2,23.222
2017-01-05,25.026,167.17,0.000,5.879,0.2,24.107
2017-01-06,28.074,167.16,0.000,5.863,0.2,28.258
2017-01-07,27.672,167.19,0.000,5.911,0.2,27.119
2017-01-08,29.498,167.23,0.000,5.975,0.2,28.756
2017-01-09,35.452,167.26,0.000,6.024,0.2,34.892
2017-01-10,36.006,167.28,0.000,6.056,0.2,35.632
2017-01-11,33.837,167.26,0.000,6.024,0.2,34.211
2017-01-12,34.589,167.27,0.000,6.04,0.2,34.403
2017-01-13,34.588,167.23,0.000,5.975,0.2,35.335
2017-01-14,35.419,167.26,0.000,6.024,0.2,34.859
2017-01-15,36.204,167.28,0.000,6.056,0.2,35.830
2017-01-16,33.561,167.23,0.000,5.975,0.2,34.495
2017-01-17,31.966,167.22,0.000,5.959,0.2,32.151
2017-01-18,33.102,167.23,0.000,5.975,0.2,32.917
2017-01-19,30.173,167.22,0.000,5.959,0.2,30.358
2017-01-20,34.058,167.19,0.000,5.911,0.2,34.615
2017-01-21,31.463,167.19,0.000,5.911,0.2,31.463
2017-01-22,37.140,167.26,0.000,6.024,0.2,35.838
2017-01-23,33.463,167.21,0.000,5.943,0.2,34.395
2017-01-24,31.984,167.19,0.000,5.911,0.2,32.354
2017-01-25,29.525,167.15,0.000,5.847,0.2,30.262
2017-01-26,23.916,167.12,0.000,5.8,0.2,24.467
2017-01-27,30.575,167.13,0.000,5.816,0.2,30.391
2017-01-28,23.671,167.1,0.000,5.768,0.2,24.221
2017-01-29,24.618,167.12,0.000,5.8,0.2,24.252
2017-01-30,30.316,167.13,0.000,5.816,0.2,30.132
2017-01-31,23.943,167.09,7.000,5.753,0.2,24.674
2017-02-01,24.895,167.08,1.000,5.737,0.2,25.078
2017-02-02,24.626,167.08,0.000,5.737,0.2,24.626
2017-02-03,24.751,167.09,0.000,5.753,0.2,24.568
2017-02-04,24.516,167.11,0.000,5.784,0.2,24.151
2017-02-05,29.350,167.17,1.000,5.879,0.2,28.248
2017-02-06,31.150,167.14,0.000,5.832,0.2,31.702
2017-02-07,25.600,167.1,0.000,5.768,0.2,26.333
2017-02-08,22.525,167.06,0.000,5.705,0.2,23.253
2017-02-09,20.969,167,0.000,5.612,0.2,22.052
2017-02-10,23.270,166.97,0.000,5.565,0.2,23.809
2017-02-11,24.835,166.99,0.000,5.596,0.2,24.476
2017-02-12,23.487,167.01,0.000,5.627,0.2,23.127
2017-02-13,21.642,166.99,0.000,5.596,0.2,22.002
2017-02-14,18.874,166.91,0.000,5.473,0.2,20.299
2017-02-15,23.880,166.93,0.000,5.503,0.2,23.533
2017-02-16,26.763,166.86,0.000,5.396,0.2,28.001
2017-02-17,32.705,166.84,5.000,5.366,0.2,33.052
2017-02-18,32.699,166.86,0.000,5.396,0.2,32.352
2017-02-19,30.018,166.9,2.000,5.457,0.2,29.312
2017-02-20,33.110,166.92,1.000,5.488,0.2,32.751
2017-02-21,27.921,166.85,0.000,5.381,0.2,29.159
2017-02-22,31.900,166.88,1.000,5.427,0.2,31.368
2017-02-23,29.550,166.8,0.000,5.305,0.2,30.962
2017-02-24,29.430,166.75,0.000,5.23,0.2,30.298
2017-02-25,30.834,166.74,0.000,5.215,0.2,31.008
2017-02-26,30.187,166.73,0.000,5.2,0.2,30.361
2017-02-27,29.270,166.68,0.000,5.126,0.2,30.126
2017-02-28,30.110,166.63,0.000,5.052,0.2,30.966
2017-03-01,31.338,166.57,0.000,4.965,0.2,32.345
2017-03-02,33.879,166.54,0.000,4.921,0.2,34.388
2017-03-03,32.111,166.47,0.000,4.82,0.2,33.280
2017-03-04,30.852,166.42,0.000,4.749,0.2,31.674
2017-03-05,30.293,166.41,0.000,4.734,0.2,30.467
2017-03-06,32.149,166.34,0.000,4.636,0.2,33.283
2017-03-07,29.799,166.29,0.000,4.566,0.2,30.609
2017-03-08,25.510,166.22,0.000,4.469,0.2,26.633
2017-03-09,23.588,166.18,0.000,4.414,0.2,24.225
2017-03-10,20.184,166.08,0.000,4.278,0.2,21.758
2017-03-11,15.349,166,0.000,4.171,0.2,16.587
2017-03-12,16.014,165.94,1.000,4.092,0.2,16.928
2017-03-13,21.209,165.89,0.000,4.026,0.2,21.973
2017-03-14,25.648,165.84,0.000,3.962,0.2,26.389
2017-03-15,27.343,165.84,0.000,3.962,0.2,27.343
2017-03-16,31.346,165.77,0.000,3.872,0.2,32.388
2017-03-17,40.218,165.76,0.000,3.859,0.2,40.368
2017-03-18,40.636,165.68,0.000,3.758,0.1,41.805
2017-03-19,37.114,165.58,0.000,3.633,0.1,38.561
2017-03-20,35.702,165.45,0.000,3.475,0.1,37.531
2017-03-21,31.160,165.37,0.000,3.379,0.1,32.271
2017-03-22,28.627,165.36,0.000,3.367,0.1,28.766
2017-03-23,28.806,165.32,0.000,3.32,0.1,29.350
2017-03-24,26.753,165.24,0.000,3.226,0.1,27.841
2017-03-25,22.162,165.14,2.000,3.111,0.1,23.493
2017-03-26,16.850,165.03,5.000,2.987,0.1,18.285
2017-03-27,12.696,165.03,1.000,2.987,0.1,12.696
2017-03-28,19.578,164.98,0.000,2.932,0.1,20.215
2017-03-29,17.280,164.9,0.000,2.844,0.1,18.299
