obsryymtde,inflowqy,lowlevel,prcptqy,rsvwtqy,rsvwtrt,totdcwtrqy
2016-01-01,7.492,158.26,0.000,372.611,47.2,1.970
2016-01-02,7.498,158.29,0.000,373.088,47.2,1.971
2016-01-03,5.653,158.31,0.000,373.407,47.3,1.966
2016-01-04,7.525,158.34,0.000,373.885,47.3,1.991
2016-01-05,5.665,158.36,0.000,374.204,47.4,1.974
2016-01-06,7.498,158.39,0.000,374.683,47.4,1.958
2016-01-07,5.754,158.41,0.000,375.002,47.5,2.058
2016-01-08,3.816,158.42,0.000,375.162,47.5,1.967
2016-01-09,5.664,158.44,0.000,375.481,47.5,1.965
2016-01-10,5.652,158.46,0.000,375.801,47.6,1.951
2016-01-11,5.693,158.48,0.000,376.121,47.6,1.991
2016-01-12,5.689,158.5,0.000,376.441,47.7,1.985
2016-01-13,3.828,158.51,0.000,376.601,47.7,1.975
2016-01-14,3.839,158.52,0.000,376.761,47.7,1.986
2016-01-15,5.715,158.54,0.000,377.082,47.7,2.007
2016-01-16,5.715,158.56,0.000,377.402,47.8,2.005
2016-01-17,5.700,158.58,3.176,377.723,47.8,1.988
2016-01-18,5.716,158.6,0.325,378.044,47.9,2.003
2016-01-19,5.700,158.62,0.000,378.365,47.9,1.985
2016-01-20,2.782,158.6,0.000,378.044,47.9,6.497
2016-01-21,4.709,158.43,0.000,375.322,47.5,36.214
2016-01-22,0.245,158.18,0.000,371.339,47,46.334
2016-01-23,5.203,157.99,0.000,368.33,46.6,40.036
2016-01-24,5.384,157.8,0.000,365.335,46.2,40.047
2016-01-25,1.913,157.59,0.000,362.042,45.8,40.025
2016-01-26,0.384,157.37,0.000,358.612,45.4,40.084
2016-01-27,4.199,157.17,0.000,355.511,45,40.086
2016-01-28,3.316,157.05,6.116,353.659,44.8,24.755
2016-01-29,10.249,157.02,8.801,353.197,44.7,15.598
2016-01-30,8.476,156.98,0.403,352.581,44.6,15.601
2016-01-31,4.908,156.92,0.000,351.659,44.5,15.580
2016-02-01,3.145,156.85,0.000,350.585,44.4,15.573
2016-02-02,4.951,156.79,0.000,349.667,44.3,15.584
2016-02-03,3.195,156.72,0.000,348.597,44.1,15.578
2016-02-04,3.219,156.65,0.000,347.529,44,15.577
2016-02-05,5.001,156.59,0.000,346.616,43.9,15.574
2016-02-06,3.296,156.52,0.000,345.552,43.7,15.609
2016-02-07,3.255,156.45,0.000,344.49,43.6,15.543
2016-02-08,1.445,156.37,0.000,343.279,43.5,15.458
2016-02-09,5.253,156.31,0.000,342.373,43.3,15.742
2016-02-10,3.417,156.24,0.000,341.318,43.2,15.630
2016-02-11,3.407,156.17,0.000,340.265,43.1,15.595
2016-02-12,8.631,156.13,23.174,339.664,43,15.585
2016-02-13,19.051,156.15,11.509,339.964,43,15.575
2016-02-14,26.045,156.21,0.325,340.866,43.2,15.605
2016-02-15,15.311,156.25,0.000,341.468,43.2,8.341
2016-02-16,12.463,156.31,0.000,342.373,43.3,1.993
2016-02-17,8.979,156.35,0.000,342.977,43.4,1.989
2016-02-18,8.993,156.39,0.000,343.582,43.5,1.995
2016-02-19,9.012,156.43,0.000,344.187,43.6,2.005
2016-02-20,9.007,156.47,0.000,344.793,43.6,1.992
2016-02-21,5.493,156.49,0.000,345.096,43.7,1.983
2016-02-22,7.254,156.52,0.000,345.552,43.7,1.985
2016-02-23,7.277,156.55,0.000,346.007,43.8,2.003
2016-02-24,5.507,156.57,0.000,346.311,43.8,1.989
2016-02-25,5.502,156.59,0.000,346.616,43.9,1.982
2016-02-26,5.524,156.61,0.000,346.92,43.9,2.002
2016-02-27,7.285,156.64,0.000,347.377,44,1.998
2016-02-28,7.280,156.67,5.079,347.834,44,1.988
2016-02-29,7.283,156.7,0.367,348.292,44.1,1.987
2016-03-01,5.530,156.72,0.000,348.597,44.1,1.997
2016-03-02,5.525,156.74,0.000,348.902,44.2,1.990
2016-03-03,5.530,156.76,0.000,349.208,44.2,1.993
2016-03-04,9.076,156.8,15.040,349.82,44.3,1.995
2016-03-05,19.741,156.9,26.311,351.352,44.5,2.004
2016-03-06,57.283,157.21,0.369,356.13,45.1,1.984
2016-03-07,30.746,157.37,0.000,358.612,45.4,2.020
2016-03-08,23.613,157.49,0.290,360.48,45.6,1.987
2016-03-09,18.267,157.58,0.000,361.886,45.8,2.002
2016-03-10,16.492,157.66,0.000,363.138,46,2.002
2016-03-11,12.898,157.72,0.000,364.078,46.1,2.010
2016-03-12,12.871,157.78,0.000,365.021,46.2,1.966
2016-03-13,12.899,157.84,0.000,365.964,46.3,1.977
2016-03-14,9.222,157.88,0.000,366.594,46.4,1.931
2016-03-15,9.171,157.92,0.000,367.225,46.5,1.873
2016-03-16,9.299,157.96,0.000,367.856,46.6,1.993
2016-03-17,7.507,157.99,0.000,368.33,46.6,2.023
2016-03-18,12.970,158.05,11.406,369.279,46.7,1.988
2016-03-19,9.338,158.09,0.167,369.912,46.8,2.008
2016-03-20,9.343,158.13,0.000,370.546,46.9,2.005
2016-03-21,7.515,158.16,0.000,371.022,47,2.007
2016-03-22,7.512,158.19,0.000,371.498,47,1.999
2016-03-23,7.532,158.22,0.000,371.975,47.1,2.015
2016-03-24,7.511,158.25,0.000,372.452,47.2,1.990
2016-03-25,7.515,158.28,0.167,372.929,47.2,1.990
2016-03-26,9.365,158.32,0.500,373.566,47.3,1.992
2016-03-27,7.551,158.35,0.202,374.045,47.4,2.016
2016-03-28,5.703,158.37,0.000,374.364,47.4,2.011
2016-03-29,5.694,158.39,0.000,374.683,47.4,2.000
2016-03-30,5.698,158.41,0.000,375.002,47.5,2.002
2016-03-31,3.952,158.42,0.000,375.162,47.5,2.103
2016-04-01,6.467,158.37,0.000,374.364,47.4,15.706
2016-04-02,4.598,158.31,0.000,373.407,47.3,15.669
2016-04-03,8.336,158.27,9.740,372.77,47.2,15.708
2016-04-04,8.354,158.23,1.551,372.134,47.1,15.718
2016-04-05,6.508,158.18,0.000,371.339,47,15.703
2016-04-06,10.168,158.15,24.535,370.863,46.9,15.679
2016-04-07,61.739,158.4,24.620,374.842,47.5,15.684
2016-04-08,37.906,158.52,0.000,376.761,47.7,15.697
2016-04-09,23.120,158.56,0.000,377.402,47.8,15.702
2016-04-10,19.401,158.58,0.000,377.723,47.8,15.689
2016-04-11,15.711,158.58,0.000,377.723,47.8,15.711
2016-04-12,13.864,158.57,0.000,377.562,47.8,15.720
2016-04-13,17.576,158.58,12.633,377.723,47.8,15.720
2016-04-14,15.678,158.58,0.000,377.723,47.8,15.678
2016-04-15,11.988,158.56,0.000,377.402,47.8,15.700
2016-04-16,15.688,158.56,18.760,377.402,47.8,15.688
2016-04-17,45.433,158.72,8.335,379.972,48.1,15.689
2016-04-18,28.767,158.79,0.000,381.099,48.2,15.718
2016-04-19,23.175,158.83,0.000,381.745,48.3,15.708
2016-04-20,17.565,158.84,0.000,381.906,48.3,15.697
2016-04-21,55.016,159.05,35.913,385.304,48.8,15.688
2016-04-22,51.468,159.24,0.000,388.393,49.2,15.715
2016-04-23,34.608,159.34,0.000,390.024,49.4,15.727
2016-04-24,25.154,159.39,0.000,390.841,49.5,15.697
2016-04-25,20.769,159.42,0.000,391.332,49.5,15.089
2016-04-26,15.662,159.42,0.983,391.332,49.5,15.662
2016-04-27,34.655,159.52,34.306,392.97,49.7,15.695
2016-04-28,54.249,159.72,4.939,396.258,50.2,16.198
2016-04-29,36.704,159.83,0.000,398.073,50.4,15.702
2016-04-30,31.061,159.91,0.000,399.395,50.6,15.754
2016-05-01,20.895,159.92,0.000,399.56,50.6,18.980
2016-05-02,22.834,159.94,1.246,399.892,50.6,19.002
2016-05-03,34.360,160.02,18.547,401.217,50.8,19.016
2016-05-04,32.296,160.08,0.166,402.213,50.9,20.770
2016-05-05,20.933,160.09,0.000,402.379,50.9,19.011
2016-05-06,18.962,160.09,0.000,402.379,50.9,18.962
2016-05-07,15.144,160.07,0.000,402.047,50.9,18.989
2016-05-08,14.072,160.06,0.000,401.881,50.9,15.994
2016-05-09,12.403,160.01,0.000,401.051,50.8,22.005
2016-05-10,26.681,160.05,27.219,401.715,50.9,19.000
2016-05-11,22.838,160.07,0.878,402.047,50.9,18.995
2016-05-12,15.142,160.05,0.000,401.715,50.9,18.985
2016-05-13,14.352,160.01,0.000,401.051,50.8,22.033
2016-05-14,10.260,159.98,0.000,400.554,50.7,16.016
2016-05-15,11.336,159.94,1.394,399.892,50.6,19.005
2016-05-16,13.241,159.91,8.228,399.395,50.6,18.988
2016-05-17,11.340,159.87,0.000,398.733,50.5,18.997
2016-05-18,5.607,159.8,0.000,397.577,50.3,18.990
2016-05-19,5.618,159.73,0.000,396.423,50.2,18.980
2016-05-20,4.838,159.64,0.000,394.941,50,21.986
2016-05-21,2.664,159.57,0.000,393.791,49.9,15.977
2016-05-22,3.801,159.49,0.000,392.478,49.7,18.990
2016-05-23,1.904,159.4,0.000,391.005,49.5,18.959
2016-05-24,8.416,159.34,10.283,390.024,49.4,19.766
2016-05-25,5.793,159.27,0.000,388.882,49.2,19.015
2016-05-26,5.771,159.2,0.000,387.741,49.1,18.971
2016-05-27,3.198,159.1,0.000,386.115,48.9,22.017
2016-05-28,2.826,159.03,0.000,384.98,48.7,15.973
2016-05-29,5.879,158.96,0.711,383.846,48.6,19.004
2016-05-30,1.659,158.87,0.000,382.39,48.4,18.502
2016-05-31,4.057,158.79,0.000,381.099,48.2,18.998
2016-06-01,0.787,158.66,0.000,379.007,48,25.004
2016-06-02,2.704,158.54,0.000,377.082,47.7,24.990
2016-06-03,0.419,158.34,0.000,373.885,47.3,37.415
2016-06-04,3.861,158.16,6.406,371.022,47,36.999
2016-06-05,3.344,157.96,0.000,367.856,46.6,39.987
2016-06-06,2.376,157.77,0.746,364.863,46.2,37.012
2016-06-07,3.666,157.56,0.000,361.573,45.8,41.748
2016-06-08,3.933,157.36,0.658,358.457,45.4,40.005
2016-06-09,2.327,157.15,0.000,355.202,45,39.994
2016-06-10,2.587,156.94,0.000,351.966,44.6,40.037
2016-06-11,0.994,156.72,0.000,348.597,44.1,39.994
