obsryymtde,inflowqy,lowlevel,prcptqy,rsvwtqy,rsvwtrt,totdcwtrqy
2016-01-01,1.006,165.82,0.000,25.465,31.1,1.006
2016-01-02,0.982,165.82,0.000,25.465,31.1,0.982
2016-01-03,1.026,165.82,0.000,25.465,31.1,1.026
2016-01-04,1.023,165.82,0.000,25.465,31.1,1.023
2016-01-05,1.016,165.82,0.000,25.465,31.1,1.016
2016-01-06,0.698,165.81,0.000,25.437,31.1,1.026
2016-01-07,1.028,165.81,0.000,25.437,31.1,1.028
2016-01-08,0.682,165.8,0.000,25.409,31.1,1.009
2016-01-09,0.679,165.79,0.000,25.381,31,1.006
2016-01-10,0.668,165.78,0.000,25.352,31,0.995
2016-01-11,1.024,165.78,0.000,25.352,29.2,1.024
2016-01-12,0.675,165.77,0.000,25.324,29.1,1.002
2016-01-13,0.373,165.75,0.000,25.268,29.1,1.025
2016-01-14,0.691,165.74,0.000,25.24,29,1.017
2016-01-15,1.022,165.74,0.000,25.24,29,1.022
2016-01-16,0.685,165.73,0.000,25.212,29,1.011
2016-01-17,0.699,165.72,0.000,25.183,29,1.024
2016-01-18,0.366,165.7,0.456,25.127,28.9,1.016
2016-01-19,0.713,165.69,0.000,25.099,28.9,1.038
2016-01-20,0.725,165.68,0.000,25.071,28.9,1.050
2016-01-21,0.408,165.66,0.000,25.015,28.8,1.056
2016-01-22,0.741,165.65,0.000,24.987,28.8,1.065
2016-01-23,0.449,165.63,0.000,24.931,28.7,1.096
2016-01-24,0.446,165.61,0.000,24.875,28.6,1.092
2016-01-25,0.481,165.59,0.000,24.82,28.6,1.126
2016-01-26,0.461,165.57,0.000,24.764,28.5,1.105
2016-01-27,0.505,165.55,0.000,24.708,28.4,1.148
2016-01-28,0.160,165.52,0.000,24.625,28.3,1.123
2016-01-29,0.827,165.51,0.000,24.597,28.3,1.148
2016-01-30,0.485,165.49,0.000,24.542,28.2,1.126
2016-01-31,0.807,165.48,0.000,24.514,28.2,1.127
2016-02-01,0.491,165.46,0.000,24.459,28.2,1.130
2016-02-02,0.802,165.45,0.000,24.432,28.1,1.121
2016-02-03,0.451,165.43,0.000,24.377,28.1,1.089
2016-02-04,0.482,165.41,0.000,24.321,28,1.119
2016-02-05,0.462,165.39,0.000,24.267,27.9,1.098
2016-02-06,0.444,165.37,0.000,24.212,27.9,1.079
2016-02-07,0.762,165.36,0.000,24.184,27.8,1.079
2016-02-08,0.427,165.34,2.454,24.129,27.8,1.061
2016-02-09,0.741,165.33,0.000,24.102,27.7,1.058
2016-02-10,0.447,165.31,0.000,24.047,27.7,1.080
2016-02-11,0.448,165.29,0.842,23.993,27.6,1.080
2016-02-12,1.080,165.29,14.791,23.993,27.6,1.080
2016-02-13,2.344,165.33,19.229,24.102,27.7,1.080
2016-02-14,4.256,165.43,3.684,24.377,28.1,1.080
2016-02-15,2.678,165.48,0.000,24.514,28.2,1.081
2016-02-16,1.793,165.5,0.000,24.57,28.3,1.153
2016-02-17,1.589,165.51,0.000,24.597,28.3,1.269
2016-02-18,1.797,165.53,0.000,24.653,28.4,1.155
2016-02-19,1.139,165.53,0.000,24.653,28.4,1.139
2016-02-20,1.426,165.54,0.000,24.681,28.4,1.105
2016-02-21,1.106,165.54,0.000,24.681,28.4,1.106
2016-02-22,1.089,165.54,0.000,24.681,28.4,1.089
2016-02-23,1.125,165.54,0.000,24.681,28.4,1.125
2016-02-24,1.113,165.54,0.000,24.681,28.4,1.113
2016-02-25,0.800,165.53,0.000,24.653,28.4,1.121
2016-02-26,1.136,165.53,0.000,24.653,28.4,1.136
2016-02-27,1.135,165.53,4.158,24.653,28.4,1.135
2016-02-28,1.089,165.53,5.931,24.653,28.4,1.089
2016-02-29,1.075,165.53,1.524,24.653,28.4,1.075
2016-03-01,0.819,165.52,0.456,24.625,28.3,1.140
2016-03-02,0.824,165.51,0.000,24.597,28.3,1.145
2016-03-03,1.156,165.51,0.000,24.597,28.3,1.156
2016-03-04,0.819,165.5,0.000,24.57,28.3,1.139
2016-03-05,4.009,165.59,44.854,24.82,28.6,1.117
2016-03-06,21.576,166.21,0.000,26.585,30.6,1.149
2016-03-07,9.751,166.46,0.000,27.318,31.4,1.262
2016-03-08,6.297,166.61,0.000,27.764,32,1.133
2016-03-09,4.592,166.71,0.000,28.064,32.3,1.120
2016-03-10,3.578,166.78,0.000,28.275,32.5,1.134
2016-03-11,3.228,166.84,0.000,28.457,32.8,1.124
2016-03-12,2.478,166.88,0.000,28.579,32.9,1.070
2016-03-13,2.852,166.93,0.000,28.731,33.1,1.087
2016-03-14,2.184,166.96,0.000,28.823,33.2,1.122
2016-03-15,2.179,166.99,0.000,28.915,33.3,1.115
2016-03-16,1.814,167.01,0.000,28.976,33.3,1.103
2016-03-17,1.833,167.03,0.000,29.038,33.4,1.122
2016-03-18,1.807,167.05,0.000,29.099,33.5,1.095
2016-03-19,1.484,167.06,0.000,29.13,33.5,1.127
2016-03-20,1.813,167.08,0.000,29.192,33.6,1.099
2016-03-21,1.498,167.09,0.000,29.223,33.6,1.141
2016-03-22,1.818,167.11,0.000,29.284,33.7,1.103
2016-03-23,1.493,167.12,0.000,29.315,33.7,1.135
2016-03-24,1.456,167.13,0.000,29.346,33.8,1.098
2016-03-25,1.460,167.14,0.000,29.377,33.8,1.102
2016-03-26,1.061,167.14,0.000,29.377,33.8,1.061
2016-03-27,1.418,167.15,0.000,29.408,33.8,1.059
2016-03-28,1.410,167.16,0.000,29.439,33.9,1.051
2016-03-29,1.425,167.17,0.000,29.47,33.9,1.066
2016-03-30,1.467,167.18,0.000,29.501,34,1.108
2016-03-31,1.107,167.18,0.000,29.501,34,1.107
2016-04-01,1.076,167.18,0.000,29.501,34,1.076
2016-04-02,1.083,167.18,0.000,29.501,34,1.083
2016-04-03,1.062,167.18,0.456,29.501,34,1.062
2016-04-04,1.098,167.18,0.000,29.501,34,1.098
2016-04-05,1.074,167.18,0.000,29.501,34,1.074
2016-04-06,1.091,167.18,3.000,29.501,34,1.091
2016-04-07,1.780,167.2,15.457,29.564,34,1.060
2016-04-08,2.164,167.23,0.000,29.657,34.1,1.083
2016-04-09,1.415,167.24,0.000,29.688,34.2,1.054
2016-04-10,1.427,167.25,0.000,29.719,34.2,1.066
2016-04-11,1.096,167.25,0.000,29.719,34.2,1.096
2016-04-12,1.442,167.26,0.000,29.751,34.2,1.081
2016-04-13,1.049,167.26,0.387,29.751,34.2,1.049
2016-04-14,1.445,167.27,0.000,29.782,34.3,1.083
2016-04-15,1.105,167.27,0.000,29.782,34.3,1.105
2016-04-16,1.814,167.29,19.613,29.844,34.3,1.090
2016-04-17,6.878,167.45,21.688,30.348,34.9,1.052
2016-04-18,7.957,167.64,4.704,30.941,35.6,1.088
2016-04-19,5.064,167.75,0.000,31.287,36,1.063
2016-04-20,3.988,167.83,0.456,31.54,36.3,1.060
2016-04-21,5.465,167.95,17.543,31.922,36.7,1.045
2016-04-22,5.557,168.07,0.000,32.307,37.2,1.103
2016-04-23,4.817,168.17,0.000,32.63,37.6,1.079
2016-04-24,4.048,168.25,0.000,32.889,37.9,1.041
2016-04-25,3.347,168.31,0.000,33.085,38.1,1.081
2016-04-26,2.974,168.36,0.000,33.249,38.3,1.079
2016-04-27,2.240,168.39,0.000,33.347,38.4,1.100
2016-04-28,2.220,168.42,0.000,33.446,38.5,1.078
2016-04-29,1.852,168.44,0.000,33.512,38.6,1.090
2016-04-30,1.874,168.46,0.000,33.578,38.6,1.111
2016-05-01,1.438,168.47,0.000,33.611,38.7,1.056
2016-05-02,2.601,168.48,4.842,33.644,38.7,2.219
2016-05-03,3.710,168.5,31.431,33.71,38.8,2.945
2016-05-04,6.429,168.59,2.229,34.009,39.1,2.973
2016-05-05,5.714,168.66,0.000,34.242,39.4,3.013
2016-05-06,4.520,168.7,2.069,34.376,39.6,2.971
2016-05-07,3.753,168.72,0.000,34.443,39.6,2.977
2016-05-08,2.971,168.72,0.000,34.443,39.6,2.971
2016-05-09,2.444,168.71,0.000,34.409,39.6,2.832
2016-05-10,2.652,168.7,12.911,34.376,39.6,3.040
2016-05-11,2.999,168.7,0.456,34.376,39.6,2.999
2016-05-12,1.631,168.66,0.000,34.242,39.4,3.180
2016-05-13,2.003,168.63,0.000,34.142,39.3,3.162
2016-05-14,1.597,168.59,0.000,34.009,39.1,3.139
2016-05-15,1.589,168.55,14.105,33.876,39,3.127
2016-05-16,3.117,168.55,6.051,33.876,39,3.117
2016-05-17,3.122,168.55,0.000,33.876,39,3.122
2016-05-18,2.727,168.54,0.000,33.842,38.9,3.111
2016-05-19,1.633,168.5,0.000,33.71,38.8,3.166
2016-05-20,1.227,168.45,0.000,33.545,38.6,3.138
2016-05-21,1.245,168.4,0.000,33.38,38.4,3.150
2016-05-22,0.855,168.34,0.000,33.183,38.2,3.134
2016-05-23,0.864,168.28,0.000,32.987,38,3.134
2016-05-24,2.010,168.25,21.405,32.889,37.9,3.142
2016-05-25,2.149,168.23,0.000,32.824,37.8,2.902
2016-05-26,1.250,168.18,1.615,32.662,37.6,3.129
2016-05-27,0.905,168.12,0.000,32.468,37.4,3.152
2016-05-28,0.872,168.06,0.000,32.274,37.1,3.110
2016-05-29,0.916,168,0.000,32.082,36.9,3.146
2016-05-30,0.692,167.93,0.000,31.858,36.7,3.283
2016-05-31,0.857,167.87,0.000,31.667,36.4,3.068
2016-06-01,0.987,167.81,0.000,31.477,36.2,3.190
2016-06-02,0.345,167.73,0.000,31.224,35.9,3.269
2016-06-03,0.693,167.66,0.000,31.004,35.7,3.239
2016-06-04,0.355,167.58,0.000,30.754,35.4,3.251
2016-06-05,0.679,167.51,0.000,30.536,35.1,3.201
2016-06-06,0.338,167.43,0.000,30.285,34.9,3.246
2016-06-07,0.691,167.36,0.000,30.064,34.6,3.244
2016-06-08,0.359,167.28,0.000,29.813,34.3,3.263
2016-06-09,0.690,167.21,0.000,29.595,34.1,3.218
2016-06-10,0.030,167.12,0.000,29.315,33.7,3.263
2016-06-11,0.757,167.05,0.000,29.099,33.5,3.258
2016-06-12,0.546,166.98,6.535,28.884,33.2,3.035
2016-06-13,0.388,166.9,3.962,28.64,33,3.219
2016-06-14,1.162,166.84,2.951,28.457,32.8,3.275
2016-06-15,1.138,166.78,6.071,28.275,32.5,3.242
2016-06-16,0.830,166.71,0.000,28.064,32.3,3.274
2016-06-17,0.806,166.64,0.000,27.854,32.1,3.239
2016-06-18,0.510,166.56,0.000,27.615,31.8,3.276
2016-06-19,0.428,166.48,0.387,27.377,31.5,3.179
2016-06-20,0.499,166.4,0.000,27.141,31.2,3.235
2016-06-21,0.512,166.32,0.000,26.906,31,3.233
2016-06-22,1.221,166.26,18.185,26.73,30.8,3.252
2016-06-23,1.145,166.2,0.000,26.555,30.6,3.168
2016-06-24,2.197,166.17,15.413,26.468,30.5,3.205
2016-06-25,1.495,166.12,0.000,26.324,30.3,3.171
2016-06-26,0.821,166.05,0.000,26.122,30.1,3.157
2016-06-27,0.910,165.98,0.000,25.921,29.8,3.235
2016-06-28,0.953,165.91,0.000,25.721,29.6,3.266
2016-06-29,0.676,165.84,0.000,25.522,29.4,2.978
2016-06-30,0.989,165.78,0.000,25.352,29.2,2.953
2016-07-01,2.076,165.78,58.994,25.352,29.2,2.076
2016-07-02,11.448,166.08,11.344,26.208,30.2,1.543
2016-07-03,8.908,166.3,0.000,26.847,30.9,1.512
2016-07-04,18.126,166.78,96.528,28.275,32.5,1.597
2016-07-05,116.766,169.81,81.673,38.225,44,1.603
2016-07-06,83.784,171.68,10.051,45.326,52.2,1.604
2016-07-07,26.459,172.19,0.000,47.402,54.6,2.431
2016-07-08,15.070,172.44,0.000,48.442,55.7,3.031
2016-07-09,9.506,172.56,0.000,48.946,56.3,3.666
2016-07-10,7.106,172.63,0.000,49.242,56.7,3.681
2016-07-11,5.827,172.67,0.000,49.412,56.9,3.864
2016-07-12,4.562,172.68,2.069,49.454,56.9,4.070
2016-07-13,3.879,172.68,0.000,49.454,56.9,3.879
2016-07-14,4.478,172.69,9.310,49.497,57,3.986
2016-07-15,3.501,172.68,0.000,49.454,56.9,3.993
2016-07-16,21.315,173.03,66.103,50.956,58.6,3.934
2016-07-17,18.518,173.32,4.526,52.223,60.1,3.855
2016-07-18,12.740,173.49,0.456,52.975,61,4.033
2016-07-19,9.092,173.59,0.000,53.421,61.5,3.932
2016-07-20,6.621,173.64,0.000,53.645,61.7,4.030
2016-07-21,5.196,173.66,0.000,53.735,61.8,4.158
2016-07-22,4.182,173.66,0.000,53.735,61.8,4.182
2016-07-23,3.672,173.65,0.000,53.69,61.8,4.191
2016-07-24,3.162,173.63,0.387,53.6,61.7,4.200
2016-07-25,16.726,173.87,58.745,54.683,62.9,4.196
2016-07-26,12.366,174.02,0.000,55.367,63.7,4.450
2016-07-27,7.796,174.08,0.387,55.642,64,4.611
2016-07-28,5.646,174.1,0.842,55.734,64.1,4.582
2016-07-29,5.675,174.12,7.334,55.826,64.2,4.610
2016-07-30,4.641,174.12,0.000,55.826,64.2,4.641
2016-07-31,4.041,174.11,1.456,55.78,64.2,4.574
2016-08-01,2.987,174.08,0.387,55.642,64,4.583
2016-08-02,3.037,174.05,22.806,55.504,63.9,4.631
2016-08-03,4.029,174.04,2.595,55.458,63.8,4.560
2016-08-04,3.567,174.02,0.000,55.367,63.7,4.627
2016-08-05,2.497,173.98,0.000,55.184,63.5,4.614
2016-08-06,2.077,173.93,0.000,54.956,63.2,4.717
2016-08-07,1.514,173.87,0.000,54.683,62.9,4.673
2016-08-08,1.504,173.81,0.000,54.411,62.6,4.652
2016-08-09,1.402,173.75,0.000,54.14,62.3,4.540
2016-08-10,1.108,173.68,0.000,53.825,61.9,4.756
2016-08-11,1.108,173.61,0.000,53.511,61.6,4.741
2016-08-12,0.615,173.53,0.000,53.153,61.2,4.750
2016-08-13,1.105,173.46,0.000,52.842,60.8,4.708
2016-08-14,0.596,173.38,0.000,52.488,60.4,4.697
2016-08-15,0.619,173.3,0.000,52.135,60,4.702
2016-08-16,1.225,173.24,0.000,51.871,59.7,4.275
2016-08-17,0.797,173.21,0.000,51.74,59.5,2.318
2016-08-18,0.377,173.17,0.000,51.565,59.3,2.401
2016-08-19,0.852,173.14,0.158,51.434,59.2,2.367
2016-08-20,0.738,173.11,0.000,51.304,59,2.251
2016-08-21,0.251,173.07,0.000,51.13,58.8,2.264
2016-08-22,0.762,173.04,0.000,50.999,58.7,2.269
2016-08-23,0.351,173.01,0.387,50.869,58.5,1.855
2016-08-24,0.187,172.98,1.546,50.74,58.4,1.689
2016-08-25,0.716,172.96,1.613,50.653,58.3,1.716
2016-08-26,1.154,172.95,22.913,50.61,58.2,1.653
2016-08-27,1.583,172.95,0.000,50.61,58.2,1.583
2016-08-28,1.041,172.94,3.000,50.567,58.2,1.540
2016-08-29,1.104,172.93,1.456,50.524,58.1,1.603
2016-08-30,0.599,172.91,0.842,50.438,58,1.596
2016-08-31,1.604,172.91,20.490,50.438,58,1.604
2016-09-01,4.057,172.96,4.830,50.653,58.3,1.563
2016-09-02,2.111,172.97,0.456,50.697,58.3,1.611
2016-09-03,2.039,172.98,1.089,50.74,58.4,1.539
2016-09-04,2.597,173,36.604,50.826,58.5,1.596
2016-09-05,5.561,173.08,1.684,51.173,58.9,1.547
2016-09-06,3.079,173.11,0.000,51.304,59,1.569
2016-09-07,2.662,173.13,0.000,51.391,59.1,1.654
2016-09-08,2.120,173.14,1.160,51.434,59.2,1.616
2016-09-09,1.530,173.14,0.387,51.434,59.2,1.530
2016-09-10,1.575,173.14,0.387,51.434,59.2,1.575
2016-09-11,1.545,173.14,0.000,51.434,59.2,1.545
2016-09-12,1.501,173.14,5.726,51.434,59.2,1.501
2016-09-13,1.593,173.14,0.000,51.434,59.2,1.593
2016-09-14,1.603,173.14,0.000,51.434,59.2,1.603
2016-09-15,1.005,173.13,0.000,51.391,59.1,1.509
2016-09-16,0.965,173.12,0.000,51.347,59.1,1.469
2016-09-17,3.018,173.15,19.790,51.478,59.2,1.505
2016-09-18,1.514,173.15,0.000,51.478,59.2,1.514
2016-09-19,1.046,173.14,0.000,51.434,59.2,1.551
2016-09-20,0.832,173.13,0.000,51.391,59.1,1.336
2016-09-21,1.998,173.14,0.000,51.434,59.2,1.494
2016-09-22,0.543,173.12,0.000,51.347,59.1,1.552
2016-09-23,1.073,173.11,0.000,51.304,59,1.577
2016-09-24,1.032,173.1,0.000,51.26,59,1.536
2016-09-25,0.553,173.08,0.000,51.173,58.9,1.559
2016-09-26,0.486,173.06,0.000,51.086,58.8,1.491
2016-09-27,0.931,173.05,1.842,51.043,58.7,1.433
2016-09-28,0.972,173.04,0.613,50.999,58.7,1.474
2016-09-29,0.441,173.02,0.000,50.913,58.6,1.444
2016-09-30,1.093,173.01,0.000,50.869,58.5,1.594
2016-10-01,0.194,172.98,0.000,50.74,58.4,1.696
2016-10-02,0.551,172.96,5.267,50.653,58.3,1.551
2016-10-03,4.885,173.03,30.969,50.956,58.6,1.381
2016-10-04,2.317,173.05,0.000,51.043,58.7,1.313
2016-10-05,2.301,173.07,11.613,51.13,58.8,1.296
2016-10-06,1.769,173.08,0.000,51.173,58.9,1.266
2016-10-07,2.199,173.1,5.613,51.26,59,1.193
2016-10-08,2.139,173.12,6.842,51.347,59.1,1.131
2016-10-09,1.667,173.13,0.000,51.391,59.1,1.163
2016-10-10,1.123,173.13,0.000,51.391,59.1,1.123
2016-10-11,1.717,173.14,0.000,51.434,59.2,1.213
2016-10-12,1.142,173.14,0.000,51.434,59.2,1.142
2016-10-13,1.200,173.14,0.000,51.434,59.2,1.200
2016-10-14,1.225,173.14,0.000,51.434,59.2,1.225
2016-10-15,1.258,173.14,0.000,51.434,59.2,1.258
2016-10-16,1.190,173.14,1.000,51.434,59.2,1.190
2016-10-17,1.245,173.14,0.000,51.434,59.2,1.245
2016-10-18,1.242,173.14,0.000,51.434,59.2,1.242
2016-10-19,0.755,173.13,0.000,51.391,59.1,1.259
2016-10-20,0.779,173.12,0.000,51.347,59.1,1.283
2016-10-21,0.059,173.11,0.000,51.304,59,0.563
2016-10-22,0.640,173.1,0.000,51.26,59,1.144
2016-10-23,1.214,173.1,0.771,51.26,59,1.214
2016-10-24,0.744,173.09,0.000,51.216,58.9,1.247
2016-10-25,2.729,173.12,32.456,51.347,59.1,1.218
2016-10-26,2.245,173.14,0.000,51.434,59.2,1.236
2016-10-27,1.787,173.15,0.000,51.478,59.2,1.282
2016-10-28,1.265,173.15,0.842,51.478,59.2,1.265
2016-10-29,1.729,173.16,0.000,51.521,59.3,1.224
2016-10-30,1.229,173.16,0.000,51.521,59.3,1.229
2016-10-31,1.242,173.16,0.000,51.521,59.3,1.242
2016-11-01,1.261,173.16,0.000,51.521,59.3,1.261
2016-11-02,0.747,173.15,0.000,51.478,59.2,1.252
2016-11-03,1.338,173.15,0.613,51.478,59.2,1.338
2016-11-04,0.830,173.14,0.000,51.434,59.2,1.335
2016-11-05,1.251,173.14,0.000,51.434,59.2,1.251
2016-11-06,0.524,173.13,0.000,51.391,59.1,1.028
2016-11-07,0.769,173.12,5.842,51.347,59.1,1.273
2016-11-08,1.290,173.12,1.000,51.347,59.1,1.290
2016-11-09,1.272,173.12,0.000,51.347,59.1,1.272
2016-11-10,0.784,173.11,7.456,51.304,59,1.288
2016-11-11,1.288,173.11,2.000,51.304,59,1.288
2016-11-12,1.247,173.11,0.000,51.304,59,1.247
2016-11-13,1.157,173.11,0.158,51.304,59,1.157
2016-11-14,1.246,173.11,0.000,51.304,59,1.246
2016-11-15,0.694,173.1,0.000,51.26,59,1.198
2016-11-16,1.225,173.1,0.000,51.26,59,1.225
2016-11-17,0.724,173.09,0.000,51.216,58.9,1.227
2016-11-18,0.737,173.08,1.387,51.173,58.9,1.240
2016-11-19,1.195,173.08,0.456,51.173,58.9,1.195
2016-11-20,0.702,173.07,0.000,51.13,58.8,1.205
2016-11-21,0.697,173.06,0.000,51.086,58.8,1.200
2016-11-22,1.228,173.06,1.771,51.086,58.8,1.228
2016-11-23,1.183,173.06,0.000,51.086,58.8,1.183
2016-11-24,0.672,173.05,0.000,51.043,58.7,1.174
2016-11-25,0.683,173.04,0.000,50.999,58.7,1.185
2016-11-26,0.708,173.03,0.456,50.956,58.6,1.210
2016-11-27,0.667,173.02,0.000,50.913,58.6,1.168
2016-11-28,0.745,173.01,0.000,50.869,58.5,1.246
2016-11-29,1.166,173.01,0.000,50.869,58.5,1.166
2016-11-30,0.236,172.99,0.000,50.783,58.4,1.237
2016-12-01,0.700,172.98,0.000,50.74,58.4,1.200
